title,rate,rate_nums,onyear,area
星星点灯,5.2,92,1996,中国大陆
特别押送,6.6,72,1984,美国 / 美国娱乐股份公司、盖洛德影片公司
我不是牛郎,6.6,37,1996,法国
穿梭集中营,7.4,134,1999,美国
披头四外传,8.4,52,2000,美国
奶牛美女,5.6,475,2006,USA
神拳无敌,6.4,37,2005,台湾
鲁邦三世：雾之谜,7.7,186,2007,日本
瑞恩克传奇,7.1,41,2003,Germany
"""Fallen Angels"" Murder, Obliquely",8.9,51,1993,US
天下第一串,4.7,37,2009,中国大陆
吉姆·加菲根：百无禁忌,7.7,54,2006,美国
古宝猫,9,157,1950,美国
威尔和格蕾丝：后台通行证,9.4,83,2005,美国
鲸鱼座,6.8,175,2009,中国大陆
E.T.A.,7.2,71,2008,德国
特警队,7.1,243,1975,USA
蓝点唱片－现代爵士的故事,8.9,58,1997,德国
镜子的另一面：纽波特民歌艺术节1963~1965,9.4,98,2007,美国
奥德利夫人的秘密,7.1,47,2000,UK / 英国
朗德海花园场景,8.5,780,1888,英国
恶作剧1,5.2,75,1890,美国
可怜的比埃洛,7.5,214,1892,法国
锻造场景,6.6,42,1893,美国
拳击猫,6.6,54,1894,美国
华人洗衣店场景,6.3,44,1894,美国
卡门西塔,7.1,176,1894,美国
马戏,6.8,64,1895,法国
换帽子,6.7,113,1895,法国
照相,6.5,90,1895,法国
自动香肠店,7.2,141,1895,法国
水浇园丁,8.6,3344,1895,法国
恐怖夜,6.8,117,1896,法国
持枪决斗,7.5,37,1896,法国
梅·欧文和约翰·赖斯的接吻,7.1,463,1896,美国
魔鬼庄园,6.8,74,1896,法国
斗鸡,6.2,48,1896,美国
牌局,6.3,132,1896,法国
甘蓝仙子,6.3,62,1896,法国
神学院的女孩,6.7,74,1897,美国
磨坊主与扫烟囱的人,6.5,201,1897,英国
闹鬼的旅馆房间,7.5,159,1897,法国
古堡惊魂,7.1,41,1897,英国
闹鬼城,7.2,118,1897,法国
土拿维斯城的弃降,6.6,104,1897,法国
一起来,6.3,189,1898,英国
天文学家之梦,8.5,1126,1898,法国
德雷福斯事件,6.3,66,1899,法国
灰姑娘,7.9,134,1899,法国
隧道里的吻,7.3,323,1899,英国
隧道里的吻（Bamforth版）,6.1,157,1899,英国
女修道院里的魔鬼,7.1,86,1899,法国
德雷福斯事件之四：德雷福斯在狱中,5.3,49,1899,法国
中国教会被袭记,6.7,356,1900,英国
热心的小米拉德,7.8,43,1900,伊朗
乔许叔叔的梦魇,5.9,45,1900,美国
水浇园丁,7,230,1900,英国
车的爆炸,7,190,1900,英国
Spiritisme abracadabrant,7,59,1900,法国
望远镜中的景象,6.9,208,1900,英国
魔法书,6.8,55,1900,法国
女士的裙子钉在了篱笆上,6.3,190,1900,英国
福尔摩斯的困惑,6.3,119,1900,美国
医生和猴子,6.1,50,1900,法国
睡觉难,7.9,77,1900,法国
Nouvelles luttes extravagantes,7.5,103,1900,法国
让我再梦一次,7.4,269,1900,英国
奇幻的图画,8.2,377,1900,美国
音乐狂,8.1,326,1900,法国
火灾,7,144,1901,英国
蓝胡子,7.7,161,1901,法国
抓贼,6.4,134,1901,英国
梦想与现实,6.2,153,1901,法国
乡下人与放映机,7.3,227,1901,英国
非凡的幻觉,7.3,64,1901,法国
透过钥匙孔,7.2,168,1901,法国
橡皮头,8.3,623,1901,法国
大吞噬,8.2,341,1901,英国
犯罪故事,7.2,109,1901,法国
面包店的趣事,7,73,1902,美国
Uncle Josh at the Moving Picture Show,6.5,68,1902,美国
魔鬼撒旦的宝藏,6.4,49,1902,法国
月球旅行记,8.9,14443,1902,法国
铤而走险的偷猎,6.8,156,1903,英国
被施了魔法的水井,6.4,46,1903,法国
汤姆叔叔的小屋,6.3,57,1903,美国
"鲍勃·基克,淘气的孩子",5.5,36,1903,法国
La Lanterne magique,7,66,1903,法国
快乐的鞋店售货员,6.6,172,1903,美国
祸不单行,6.6,44,1903,法国
玛丽的灾难,7.9,312,1903,英国
离奇车祸,7.9,256,1903,英国
象棋争端,7.4,228,1903,英国
Le chaudron Infernal,7.2,118,1903,法国
美国救火员的生活,7.6,384,1903,美国
火车大劫案,8.2,3710,1903,美国
光天化日下的盗贼,7.1,191,1903,英国
怪物,7,128,1903,法国
管弦乐队队员,7.8,282,1903,法国
病猫,6.8,195,1903,英国
清朝，中国魔法师,6.9,240,1904,法国
买你自己的樱桃,7.4,587,1904,英国
美人鱼,7.4,116,1904,法国
Troubles of a Manager of a Burlesque Show,4.8,49,1904,美国
Une bonne farce avec ma tête,5.9,38,1904,法国
月光小夜曲,7,46,1904,法国
厨师有麻烦,6.3,63,1904,法国
生活地图,7.7,177,1904,法国
一个有趣的故事,7.7,187,1904,英国
可怕的土耳其刽子手,7.2,49,1904,法国
奇幻航程,8.6,624,1904,法国
梅里爱的魔术,8.4,682,1904,法国
里普的美丽传说,6.7,31,1905,法国
义犬救主,8.3,1446,1905,英国
艾丽·弗瑞·莉莲试穿她的新胸衣,4.9,49,1905,美国
篱笆的另一面,5.6,108,1905,英国
Le tripot clandestin,7,96,1905,法国
达姆一家以及达姆狗,6.1,76,1905,美国
黑色魔鬼,7.7,217,1905,法国
圣诞夜,6.4,47,1905,美国
俄国革命,6.5,124,1906,法国
一个醉鬼的白日梦,7.7,308,1906,美国
阿拉丁与神灯,7.4,98,1906,法国
一张滑稽面孔的幽默姿态,7.8,656,1906,美国
欢闹的海报,7.7,148,1906,法国
摩托车手,8.1,240,1906,英国
魔鬼的恶作剧,8.4,81,1906,法国
Alchimiste Parafaragaramus ou La cornue infernale,6.7,82,1906,法国
被拴住的马匹,7.7,41,1907,美国
日蚀,7.7,189,1907,法国
La course des sergents de ville,7,32,1907,法国
强力胶,6.9,56,1907,法国
闹鬼的旅馆,6.8,37,1907,美国
日本杂技,8,283,1907,法国
跳舞的猪,7.2,1051,1907,法国
惊马,7.2,140,1907,法国
要命的喷嚏,8.1,167,1907,英国
海底兩萬哩,6.7,31,1907,法国
红色幽灵,7.1,40,1907,法国
吉斯公爵的被刺,6.9,93,1908,法国
城堡中的医生,6.8,124,1908,法国
心灵映射投影术,6.1,55,1908,法国
The Thieving Hand,7.3,42,1908,美国
桃丽历险记,7,45,1908,美国
小麦的囤积,8,142,1909,美国
乡村医生,7.9,51,1909,美国
孤独的别墅,7.5,73,1909,美国
假牙,6.5,38,1909,法国
Those Awful Hats,7.2,56,1909,美国
恶魔房客,8.1,388,1909,法国
埃德加·爱伦·坡,7.3,62,1909,美国
拳击,6.1,67,1910,法国
麦克斯的处女作,5.4,33,1910,法国
服务生的幻想,6.4,60,1910,法国
麦克斯洗澡,6.4,36,1910,法国
科学怪人,7.5,273,1910,美国
绿野仙踪,7.7,95,1910,美国
但丁的地狱,8.1,352,1911,意大利
隆台尔的报务员,7.2,53,1911,美国
麦克斯与简的演出梦,6.3,29,1911,法国
娇娃护宝记,8,89,1912,美国
The Homecoming,8,38,1912,美国
伊丽莎白女王,7.7,52,1912,法国
激情与梦想－法拉利的故事,8.4,82,1912,比利时
蚊子是怎么生活的,6.6,470,1912,美国
草鳏夫的麻烦,7.2,61,1912,法国
摄影师的复仇,8.2,573,1912,俄罗斯
征服极地,8.2,118,1912,法国
看不见的敌人,7.3,44,1912,美国
尤文智斗方托马斯,7.8,39,1913,法国
暴君焚城记,7.6,53,1913,意大利
英厄堡·霍尔姆,7.5,63,1913,瑞典
布拉格的大学生,7.3,146,1913,德国
佩吉巷的火枪手,7.4,105,1913,美国
方托马斯,7.3,59,1913,法国
难夫难妻,8.7,47,1913,中国大陆
寡妇的追求者,2.6,63,1913,美国
方托马斯智斗方托马斯,7.8,36,1914,法国
月球之旅,8.7,322,1914,美国
神秘的X,8.4,40,1914,丹麦
卡比利亚,8.3,243,1914,意大利
马贝尔的婚后生活,6.3,59,1914,美国
捉贼记,4.4,48,1914,美国
梅布尔的困境,6,71,1914,美国
破灭的美梦,6,54,1914,美国
完美结局,6,45,1914,美国
勇敢的绅士,6,39,1914,美国
遇雨,5.9,56,1914,美国
残酷的爱情,5.8,117,1914,美国
阵雨之间,5.8,107,1914,美国
探戈纷乱,5.8,69,1914,美国
梅布尔的忙碌一天,5.8,46,1914,美国
侍者,5.8,48,1914,美国
奇怪的气体,5.7,48,1914,美国
忙碌的一天,5.6,106,1914,美国
娱乐,5.5,64,1914,美国
女房东的宠物,5.5,43,1914,美国
他的消遣,5.5,56,1914,美国
致命的球棍,5.5,42,1914,美国
受辱记,5.3,49,1914,美国
冒充者,6.8,52,1914,美国
查理的过去,6.8,44,1914,美国
面团与炸药,6.8,43,1914,美国
公平交易,6.7,44,1914,美国
谋生之路,6.5,144,1914,美国
威尼斯儿童赛车,6.4,150,1914,美国
拍电影,6.3,113,1914,美国
击倒,6.3,79,1914,美国
查理的约会,6.3,45,1914,美国
剧院的夏尔洛,6.3,43,1914,美国
二十分钟的爱情,6.2,100,1914,美国
一无是处,6.2,93,1914,美国
款式,6.2,41,1914,法国
竞争对手,6.1,92,1914,美国
新看门人,6.1,56,1914,美国
恐龙葛蒂,7.9,926,1914,美国
音乐流浪汉,7.1,73,1914,美国
酒鬼,8.2,188,1914,美国
一个国家的诞生,7.9,3881,1915,美国
蒙骗,7.7,88,1915,美国
死后,7.7,51,1915,俄罗斯
撒旦狂想曲,7.6,156,1915,意大利
白日梦,7.6,31,1915,俄罗斯
吸血鬼,8.1,171,1915,法国
新生,6,76,1915,美国
鲨鱼池,5.8,54,1915,美国
卡门的闹剧,7,130,1915,美国
诱拐,7,99,1915,美国
演出之夜,7,99,1915,美国
冠军,6.9,140,1915,美国
在公园,6.8,119,1915,美国
爱的惊喜,6.7,47,1915,法国
漫漫长夜,6.3,137,1915,美国
卡门的闹剧,6.3,40,1915,美国
驾车私奔记,6.2,160,1915,美国
工作,8,342,1915,美国
他的新工作,7.9,220,1915,美国
银行,7.5,125,1915,美国
在海边,7.2,159,1915,美国
一位女士,7.2,126,1915,美国
流浪汉,8.6,1178,1915,美国
杜普博士的疯狂,6.5,50,1915,法国
泥人哥连,7.8,119,1915,德国
A Free Ride,6.6,44,1915,美国
黑桃皇后,7.4,44,1916,俄罗斯
党同伐异,8.6,4050,1916,美国
银幕背后,7.3,172,1916,美国
流浪乐手,8.6,969,1916,美国
警察,6.9,444,1916,美国
伯爵,6.6,95,1916,美国
平库斯鞋店,6.5,58,1916,德国
在我死后,6.1,56,1916,德国
当铺,8,401,1916,美国
When Papa Died,8,37,1916,美国
凌晨一点,7.9,266,1916,美国
救火员,7.5,426,1916,美国
溜冰场,8.4,527,1916,美国
百货店巡视员,8.1,578,1916,美国
海底两万里,7,184,1916,美国
福尔摩斯,7.3,34,1916,美国
新婚之夜,5.5,103,1917,美国
谢尔盖神父,6.9,39,1917,俄罗斯
屠夫小子,6.8,85,1917,美国
康尼岛,6.6,112,1917,美国
仇敌当前,7.6,62,1917,瑞典
可怜的富家小姑娘,7.4,37,1917,美国
疗养,7.3,125,1917,美国
垂死的天鹅,8.2,136,1917,俄罗斯
移民,8.1,388,1917,美国
噢！医生,5.9,73,1917,美国
红房子,5.4,94,1917,美国
欢乐监狱,6.8,52,1917,德国
冒险者,8.2,317,1917,美国
安乐街,8.1,349,1917,美国
厨师,6.9,138,1918,美国
晚安护士,6.5,74,1918,美国
生死恋,7.3,38,1918,瑞典
我不想做男人,7.2,223,1918,德国
纽带,6,70,1918,美国
私酒,5.9,39,1918,美国
大堂服务生,6.8,68,1918,美国
三个人的麻烦,6.5,88,1918,美国
如何拍电影,8,65,1918,美国
在西部,7.2,63,1918,美国
从军记,8.7,2364,1918,美国
狗的生活,8.7,1855,1918,美国
火星之旅,8.1,37,1918,丹麦
后台,6.6,100,1919,美国
切腹,6.3,58,1919,德国
阿尔纳的宝藏,8,41,1919,瑞典
神经质,7.9,58,1919,德国
与众不同,7.8,354,1919,德国
残花泪,7.7,609,1919,美国
审判长,7.7,71,1919,丹麦
牡蛎公主,7.5,282,1919,德国
杜巴里夫人,7.5,85,1919,德国
我控诉,8.7,104,1919,法国
田园牧歌,7.5,366,1919,美国
Bumping Into Broadway,7.5,57,1919,美国
当云匆匆消散时,7.5,35,1919,美国
教授,5.6,43,1919,美国
"Billy Blazes, Esq.",6.5,32,1919,美国
乡巴佬,6.2,50,1919,美国
快乐的一天,8,942,1919,美国
猫的闹剧,7.8,231,1919,美国
真人玩偶,7.6,183,1919,德国
墨水瓶人,8.7,109,1919,美国
安娜.博林,7,77,1920,德国
罗密欧与朱丽叶,6.6,43,1920,德国
呆子,6.4,94,1920,美国
苏姆伦王妃,6.4,81,1920,德国
赖婚,8,242,1920,美国
最后一个莫希干人,7.9,111,1920,美国
惩罚,7.7,36,1920,美国
化身博士,7.6,161,1920,美国
玛格丽特夫人的第四次婚姻,7.6,47,1920,瑞典
门内,7.3,54,1920,美国
一周,8.8,1299,1920,美国
卡里加里博士的小屋,8.7,7151,1920,德国
撒旦日记,8.1,110,1920,丹麦
佐罗的标记,7,39,1920,美国
吃醋的右手,6.7,174,1920,法国
邻居们,8.5,830,1920,美国
东部人西游记,6.8,73,1920,美国
修车铺,6.6,43,1920,美国
Haunted Spooks,6.6,42,1920,美国
Get Out and Get Under,6.5,34,1920,美国
13号囚犯,7.6,561,1920,美国
高空惊魂记,7.1,57,1920,美国
稻草人,9,1037,1920,美国
詹尼恩：一个吸血鬼的传说,6.1,74,1920,Germany
泥人哥连出世记,7.8,241,1920,德国
船,7,373,1921,美国
战斗的心,6.9,41,1921,德国
野猫,6.8,86,1921,德国
茶花女,6.6,53,1921,美国
替罪羊,8,511,1921,美国
路上的灵魂,8,46,1921,日本
鬼屋,7.5,497,1921,美国
倒霉,7.5,437,1921,美国
启示录四骑士,7.5,36,1921,美国
后楼梯,7.4,31,1921,德国
三生计,8.5,758,1921,德国
风雨中的孤儿,8.2,126,1921,美国
幽灵马车,8.1,1015,1921,瑞典
寻子遇仙记,9.1,14052,1921,美国
沙漠情酋,7.1,83,1921,美国
Be My Wife,8,38,1921,美国
七年厄运,8.6,261,1921,美国
剧院,8.4,509,1921,美国
有闲阶级,8.2,513,1921,美国
暗号,8.2,475,1921,美国
永不软弱,8.2,63,1921,美国
飞屋,7.3,60,1921,美国
亚特兰蒂斯的女皇,8.2,47,1921,法国 / 比利时
古堡惊魂,7.1,212,1921,德国
Die im Schatten gehen,6.4,51,1921,德国
福尔摩斯,7,48,1922,美国
我妻子的亲戚,6.6,313,1922,美国
魅影,8,207,1922,德国
警察,7.9,474,1922,美国
电气化屋子,7.9,441,1922,美国
燃烧的大地,7.8,71,1922,德国
白日梦,7.6,346,1922,美国
情场现形记,7.6,119,1922,美国
白面酋长,7.5,324,1922,美国
海逝,7.5,194,1922,美国
逝去的时光,7.5,106,1922,丹麦
从清晨到午夜,7.5,52,1922,德国
玩家马布斯博士,8.7,724,1922,德国
流浪女,8.1,39,1922,法国
法老王的妻子,7.2,42,1922,德国
劳工之爱情,8.1,2002,1922,中国大陆
友善,5.6,31,1922,美国
祖母的孩子,7.4,44,1922,美国
铁匠,7.3,334,1922,美国
冰封的北方,7.1,307,1922,美国
发薪日,8.8,2026,1922,美国
小捣蛋,9.7,307,1922,美国
诺斯费拉图,8.2,4942,1922,德国
女巫,8.1,706,1922,丹麦
灰姑娘,7.6,41,1922,德国
孤儿救祖记,8,65,1923,中国大陆
巴黎一妇人,7.9,491,1923,美国
十诫,7.9,126,1923,美国
夜之幻影,7.7,81,1923,德国
钟楼怪人,7.6,205,1923,美国
萨乐美,7.5,75,1923,美国
爱巢,7.4,335,1923,美国
气球,7.3,409,1923,美国
安全至下,8.8,3377,1923,美国
铁路的白蔷薇,8.5,172,1923,法国
燃烧的火炉,8.4,34,1923,法国
街道,8.4,32,1923,德国
忠实的心,8.1,156,1923,法国
三个时代,7.8,423,1923,美国
白影,7.2,91,1923,英国
待客之道,8.5,1300,1923,美国
snorks,9.2,60,1923,英国
菲利克斯在好莱坞,7,35,1923,美国
理发店里的怪事,6.9,37,1923,德国
朝圣者,8.1,912,1923,美国
回转姻缘,8,136,1924,美国
火星女王艾莉塔,7.9,130,1924,苏联
尼伯龙根2：克里姆希尔德的复仇,8.8,398,1924,德国
尼伯龙根：西格弗里德之死,8.7,532,1924,德国
最卑贱的人,8.6,2580,1924,德国
挨了耳光的男人,8.5,373,1924,美国
贪婪,8.4,432,1924,美国
麦克尔,8.2,271,1924,德国
航海家,8.1,707,1924,美国
科斯塔·柏林的故事,8.1,41,1924,瑞典
福尔摩斯二世,9.4,5566,1924,美国
月宫宝盒,7.9,227,1924,美国
无情的女人,7.4,81,1924,法国
真情难诉,8.5,161,1924,美国
公爵的钱财,6.7,85,1924,德国
A Trip to Mars,7.7,30,1924,美国
救命！,7.5,44,1924,法国
西方先生在布尔什维克国奇遇记,7.5,35,1924,苏联
星际革命,7.2,31,1924,苏联
奥拉克之手,8.2,210,1924,德国 / 奥地利
蜡人馆,7.3,170,1924,德国
对角交响曲,7.9,197,1924,德国
彼得潘,7.5,55,1924,美国
一屋之主,6.9,123,1925,丹麦
塔度夫,7.9,304,1925,德国
西行,7.9,268,1925,美国
水姑娘,7.8,119,1925,法国
新生,7.6,225,1925,美国
杂耍班,7.6,73,1925,德国
幻游记,7.6,38,1925,法国
战地之花,7.4,95,1925,美国
风流寡妇,7.3,29,1925,美国
淘金记,9,15358,1925,美国
七次机会,8.8,3137,1925,美国
孩子的面孔,8.6,54,1925,法国 / 瑞士
